Block,Rows,Seats,Tier
1,29,29,lower
2,29,29,lower
3,29,29,lower
4,27,29,lower
5,29,29,lower
6,29,29,lower
7,29,29,lower
8,27,29,lower
9,27,29,lower
10,29,29,lower
11,29,29,lower
12,29,29,lower
13,27,29,lower
14,29,29,lower
15,29,29,lower
16,29,29,lower
17,29,29,lower
18,29,29,lower
19,29,29,lower
20,29,29,lower
21,29,29,lower
22,29,29,lower
23,29,29,lower
24,29,29,lower
25,29,29,lower
26,29,29,lower
27,29,29,lower
28,29,29,lower
29,27,29,lower
30,27,29,lower
31,29,29,lower
32,29,29,lower
201,8,29,lower
41,8,14,mid
42,8,14,mid
43,8,14,mid
44,8,14,mid
45,8,14,mid
46,8,14,mid
47,8,14,mid
48,8,14,mid
49,8,14,mid
50,8,14,mid
51,8,14,mid
52,8,14,mid
53,8,14,mid
54,8,14,mid
55,8,14,mid
56,8,14,mid
57,8,14,mid
58,8,14,mid
59,8,14,mid
60,8,14,mid
61,8,14,mid
62,8,14,mid
63,8,14,mid
64,8,14,mid
65,8,14,mid
66,8,14,mid
67,8,14,mid
68,8,14,mid
69,8,14,mid
70,8,14,mid
71,8,14,mid
72,8,14,mid
73,8,14,mid
74,8,14,mid
75,8,14,mid
76,8,14,mid
77,8,14,mid
78,8,14,mid
79,8,14,mid
80,8,14,mid
81,8,14,mid
82,8,14,mid
83,8,14,mid
84,8,14,mid
200,8,14,mid
91,33,29,upper
92,33,29,upper
93,30,29,upper
94,22,29,upper
95,18,29,upper
96,17,29,upper
97,19,29,upper
98,22,29,upper
99,26,29,upper
100,31,29,upper
101,33,29,upper
102,33,29,upper
103,31,29,upper
104,26,29,upper
105,22,29,upper
106,18,29,upper
107,17,29,upper
108,18,29,upper
109,22,29,upper
110,30,29,upper
111,33,29,upper
112,33,29,upper
113,33,29,upper
114,33,29,upper
115,30,29,upper
116,26,29,upper
117,18,29,upper
118,17,29,upper
119,18,29,upper
120,22,29,upper
121,26,29,upper
122,31,29,upper
123,33,29,upper
124,33,29,upper
125,31,29,upper
126,26,29,upper
127,22,29,upper
128,19,29,upper
129,17,29,upper
130,18,29,upper
131,22,29,upper
132,30,29,upper
133,33,29,upper
134,33,29,upper
