Block,Rows,Seats,Tier
A1,24,14,Floor
A2,24,20,Floor
A3,24,15,Floor
B1,24,14,Floor
B2,24,20,Floor
B3,24,15,Floor
C1,14,22,Floor
C2,14,6,Floor
C3,14,21,Floor
101,15,20,Lower
102,26,36,Lower
103,26,36,Lower
104,15,20,Lower
105,15,20,Lower
106,26,36,Lower
107,26,36,Lower
108,15,20,Lower
109,15,20,Lower
110,26,36,Lower
111,26,36,Lower
112,26,36,Lower
113,15,20,Lower
114,7,36,Lower
115,7,36,Lower
116,7,36,Lower
117,7,36,Lower
118,15,20,Lower
401,15,20,Upper
402,18,24,Upper
403,18,24,Upper
404,18,24,Upper
405,18,24,Upper
406,18,24,Upper
407,18,24,Upper
408,18,24,Upper
409,18,24,Upper
410,18,24,Upper
411,18,24,Upper
412,18,24,Upper
413,18,24,Upper
414,18,24,Upper
415,18,24,Upper
416,18,24,Upper
417,18,24,Upper
418,18,24,Upper
419,18,24,Upper
420,18,24,Upper
421,18,24,Upper
422,15,20,Upper
